Time at which request was sent,Total Time taken (Kharagpur) (ms),Billed Time for outerFunction(ms),Actual Time for innerFunction(ms),Billed Time for innerFunction(ms),Actual Time for DB Call(ms)
08/11/19 18:54,5602,2175,2173,948,903
08/11/19 18:54,4790,674,671,84,63
08/11/19 18:54,2892,626,624,64,46
08/11/19 18:54,2209,624,622,46,44
08/11/19 18:54,2408,602,600,50,48
