246,75
112,62
99,25
67,27
106,50
115,31
150,69
101,28
368,191
140,71
104,44
118,60
116,51
232,44
330,47
97,16
151,84
103,47
77,28
87,49
102,30
120,37
104,42
137,65
93,31
104,28
129,72
96,51
88,29
97,48
137,62
101,46
104,59
79,27
70,28
125,49
91,27
141,73
104,51
126,68
119,51
86,48
75,14
105,50
129,85
109,49
107,46
107,48
115,48
111,32
144,70
129,51
122,46
124,46
99,47
160,27
89,31
115,51
264,67
66,26
56,27
91,26
82,29
120,46
133,67
121,49
99,48
104,47
95,49
106,48
83,29
72,28
133,70
122,69
92,28
90,52
84,31
127,49
102,48
117,46
98,40
93,44
157,52
105,49
122,51
105,51
173,68
146,69
93,46
71,27
97,46
91,51
141,67
186,104
77,29
111,44
108,43
108,45
116,30
196,48
